scenario_name,algorithm_name,algorithm_type,makespan,total_energy,energy_efficiency,success_rate,execution_time,additional_metrics
linear_abundant_run_1,Random,heuristic,1.8184557438794728,0.5982042342286636,16.716698792502193,0.3333333333333333,0.0005519390106201172,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_2,Random,heuristic,1.8021680216802167,0.5926243900763796,16.87409456554963,0.3333333333333333,0.00022721290588378906,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_3,Random,heuristic,4.150477707006369,0.7707858784515496,12.973771678444917,0.3333333333333333,0.00022912025451660156,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_4,Random,heuristic,1.4834068229287536,0.41470233321766686,24.113681546979024,0.3333333333333333,0.00023412704467773438,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_5,Random,heuristic,1.4502529510961213,0.48465871100886526,20.63307596222506,0.3333333333333333,0.0002319812774658203,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_1,Min-Min,heuristic,0.8212658227848101,0.5563888465074871,17.973041808388288,0.3333333333333333,0.00013375282287597656,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_2,Min-Min,heuristic,0.6392849309059004,0.39166478787479897,25.532037368640445,0.3333333333333333,0.00013208389282226562,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_3,Min-Min,heuristic,0.5460969776038269,0.38392981784491914,26.046427068707914,0.3333333333333333,0.00013685226440429688,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_4,Min-Min,heuristic,0.5770979235778351,0.30172955125845585,33.14226252712711,0.3333333333333333,0.00013065338134765625,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_5,Min-Min,heuristic,0.7101115421920465,0.3069462915565101,32.5789894684522,0.3333333333333333,0.00012183189392089844,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_1,Max-Min,heuristic,1.1963636363636363,0.7616035413422211,13.130191047137702,0.3333333333333333,0.00013685226440429688,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_2,Max-Min,heuristic,0.9083853294780095,0.4587647908158097,21.79766233197028,0.3333333333333333,0.00015091896057128906,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_3,Max-Min,heuristic,0.9856275303643725,0.529973281789981,18.868875740726157,0.3333333333333333,0.00013589859008789062,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_4,Max-Min,heuristic,0.8035604665438919,0.38350215530758874,26.07547274924564,0.3333333333333333,0.0001308917999267578,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_5,Max-Min,heuristic,1.1788472964943553,0.4986015983944717,20.056092945150244,0.3333333333333333,0.00013017654418945312,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_1,HEFT,heuristic,3.4660982299013283,1.1204226727417494,26.775609535451462,1.0,0.00031495094299316406,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_2,HEFT,heuristic,3.046006944444445,1.018402105966073,29.457912374937113,1.0,0.0003139972686767578,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_3,HEFT,heuristic,3.367070928037494,1.0719878488408134,27.9853918423052,1.0,0.00030994415283203125,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_4,HEFT,heuristic,3.5496648385131016,1.4142051781959006,21.213329198999933,1.0,0.0003147125244140625,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_5,HEFT,heuristic,3.8502677399421414,1.7733390024678564,16.91723915069295,1.0,0.00031495094299316406,"{'scheduled_tasks': 30, 'total_tasks': 30}"
linear_abundant_run_1,Power-Aware Min-Min,heuristic,2.521946924915105,0.46254122377986967,21.619694604256832,0.3333333333333333,0.0011870861053466797,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_2,Power-Aware Min-Min,heuristic,1.419283688688163,0.5492031704638509,18.208197872481527,0.3333333333333333,0.0011010169982910156,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_3,Power-Aware Min-Min,heuristic,1.2118912080961417,0.4126534445196891,24.233409735957906,0.3333333333333333,0.00110626220703125,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_4,Power-Aware Min-Min,heuristic,1.3295573981081397,0.536145791020636,18.651643205038432,0.3333333333333333,0.0011210441589355469,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_5,Power-Aware Min-Min,heuristic,1.6006665972294551,0.47678841360265434,20.973664029373403,0.3333333333333333,0.001092672348022461,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_1,Power-Aware Min-Min,heuristic,2.1142857142857143,0.6064141992841269,16.49037903763635,0.3333333333333333,0.001110076904296875,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_2,Power-Aware Min-Min,heuristic,1.2311557788944725,0.5733114570955189,17.442526006128478,0.3333333333333333,0.0010972023010253906,"{'scheduled_tasks': 10, 'total_tasks': 30}"
linear_abundant_run_3,Power-Aware Min-Min,heuristic,1.2188240604897866,0.3897691767260633,25.656210385841202,0.3333333333333333,0.0011470317840576172,"{'scheduled_tasks': 10, 'total_tasks': 30}"
